num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label
185,69,0,3,13,1,19,0,2,1,10,1
62,38,1,0,1,70,8,0,1,2,1,1
1,5,0,1,21,0,4,0,2,1,1,1
7,1,0,1,3,14,17,0,12,1,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,1,0,0,0,0,0,0,0,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
163,21,0,9,26,2,29,0,2,12,3,1
0,0,0,0,0,0,4,0,1,1,0,1
0,0,0,0,0,0,4,0,1,1,0,1
0,0,0,0,0,0,4,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1
35,3,8,2,7,3,46,0,12,2,11,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,3,0,1,4,1,4,0,1,1,0,1
6,0,0,0,0,0,6,0,1,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
1,1,0,1,5,0,3,0,1,0,3,1
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,6,1,17,0,3,1,0,1
0,39,0,0,0,39,4,0,0,3,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
4,6,0,0,0,1,1,0,2,1,0,1
79,10,0,4,17,0,15,0,0,10,63,1
0,64,2,0,0,0,15,1,4,2,2,1
9,0,0,1,4,1,10,0,0,10,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,0,0,0,0,0,4,0,1,1,0,1
0,0,0,0,0,0,1,0,1,0,0,1
1,3,0,1,3,0,4,0,2,1,0,1
11,2,1,1,8,0,29,0,21,8,4,1
5,3,1,1,8,0,24,0,21,8,4,1
0,64,2,0,0,0,15,1,4,2,2,1
1,3,0,1,3,0,4,0,2,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,2,1,0,4,1,2,0,1,0,1,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,3,0,2,7,2,8,0,1,2,4,1
10,2,0,0,2,0,166,0,2,7,2,1
0,3,0,2,7,1,8,0,1,2,0,1
10,2,0,0,2,0,166,0,2,7,2,1
9,2,0,2,8,0,6,1,2,7,5,1
0,3,0,2,7,1,7,0,1,2,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,0,0,0,0,0,0,0,0,0,0,1
18,5,1,1,9,4,29,0,20,9,4,1
128,93,4,2,6,0,41,1,3,1,23,1
10,3,0,0,2,1,4,0,4,1,1,1
