num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label,complexity_score,category
185,69,0,3,13,1,19,0,2,1,10,1,0.0030557082968964222,Hard
62,38,1,0,1,70,8,0,1,2,1,1,0.0012350581442928759,Medium
1,5,0,1,21,0,4,0,2,1,1,1,0.000520221625099411,Simple
7,1,0,1,3,14,17,0,12,1,0,1,0.002219861755985141,Medium
0,0,0,0,0,0,0,0,1,0,0,1,0.0,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,1,0,0,0,0,0,0,0,0,0,1,0.0,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
163,21,0,9,26,2,29,0,2,12,3,1,0.004276794611223211,Hard
0,0,0,0,0,0,4,0,1,1,0,1,0.0005169780435311768,Simple
0,0,0,0,0,0,4,0,1,1,0,1,0.0005169780435311768,Simple
0,0,0,0,0,0,4,0,1,1,0,1,0.0005169780435311768,Simple
0,0,0,0,0,0,0,0,0,0,0,1,0.0,Simple
35,3,8,2,7,3,46,0,12,2,11,1,0.006058772855496731,Hard
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,3,0,1,4,1,4,0,1,1,0,1,0.0005169780435311768,Simple
6,0,0,0,0,0,6,0,1,0,0,1,0.0007949285547061705,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
1,1,0,1,5,0,3,0,1,0,3,1,0.0003909771142166168,Simple
0,0,0,0,0,0,0,0,0,0,0,1,0.0,Simple
1,1,1,1,6,1,17,0,3,1,0,1,0.0022004002665757354,Medium
0,39,0,0,0,39,4,0,0,3,0,1,0.0005169780435311768,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
4,6,0,0,0,1,1,0,2,1,0,1,0.00014221883715573113,Simple
79,10,0,4,17,0,15,0,0,10,63,1,0.002194910607132417,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
9,0,0,1,4,1,10,0,0,10,0,1,0.00132163734294205,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,0,0,0,0,0,4,0,1,1,0,1,0.0005169780435311768,Simple
0,0,0,0,0,0,1,0,1,0,0,1,0.0001292445108827942,Simple
1,3,0,1,3,0,4,0,2,1,0,1,0.000520221625099411,Simple
11,2,1,1,8,0,29,0,21,8,4,1,0.0037837702128516084,Hard
